Sut, valor_f
482.6961547728889, 0.8985630498533724
482.6961547728889, 0.8985630498533724
508.7836670408266, 0.8885043988269795
531.2811546847361, 0.8811143695014663
551.9829688702919, 0.8749560117302053
575.3862269994535, 0.8681818181818182
592.4940496829436, 0.8640762463343109
611.401512702825, 0.8593548387096774
628.5093353863151, 0.8552492668621701
628.5093353863151, 0.8552492668621701
656.4269007222656, 0.8492961876832845
695.1555310033557, 0.8417008797653959
724.8806704317726, 0.8363636363636364
755.5089357600832, 0.8312316715542523
793.3463407753924, 0.8252785923753666
834.7896379268801, 0.8191202346041055
883.4473639360832, 0.8129618768328446
922.1971509000405, 0.8086510263929619
951.0350319407142, 0.8055718475073314
990.6892670972443, 0.8016715542521995
1038.4557678406668, 0.7971554252199413
1086.2249131694473, 0.793049853372434
1124.0808302822652, 0.7899706744868036
1164.6421582167266, 0.786891495601173
1208.8107005800457, 0.7838123167155425
1257.4869386867576, 0.7805278592375366
1295.3481449702924, 0.7782697947214077
1340.4211355261843, 0.7756011730205279
1379.1854677096126, 0.7735483870967742
